city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,Forsytheganj,52.63,29.73,42.37,68,99,8.32,BY,1603123464
319,Mahébourg,-20.41,57.7,75.2,73,20,10.29,MU,1603123464
320,Mattru,7.62,-11.83,81.12,85,100,3.62,SL,1603123464
321,Rock Sound,24.9,-76.2,81.72,75,100,21.21,BS,1603123465
322,Richards Bay,-28.78,32.04,76.08,75,0,11.32,ZA,1603123465
323,Kendrapara,20.5,86.42,78.8,100,40,4.09,IN,1603123465
324,Viedma,-40.81,-63.0,66.99,29,0,5.99,AR,1603123465
325,Beïnamar,8.67,15.38,84.02,53,18,1.72,TD,1603123465
326,Maceió,-9.67,-35.74,87.8,52,40,11.41,BR,1603123349
327,Hervey Bay,-25.3,152.85,71.01,94,40,5.82,AU,1603123465
328,Kathu,7.92,98.33,87.01,100,20,2.24,TH,1603123465
329,Nizhniy Kuranakh,58.84,125.49,21.97,95,87,4.45,RU,1603123466
330,Beloha,-25.17,45.05,71.83,67,0,11.43,MG,1603123466
331,Vavuniya,8.75,80.5,77.31,83,0,6.44,LK,1603123466
332,Mossamedes,-15.2,12.15,73.4,73,75,20.8,AO,1603123466
333,Yuzhno-Kurilsk,44.03,145.86,48.96,73,11,2.06,RU,1603123466
334,Buala,-8.14,159.59,80.55,79,0,5.06,SB,1603123466
335,Rosa Zarate,0.33,-79.47,83.5,62,90,6.17,EC,1603123466
336,Koygorodok,60.45,51.0,33.98,95,98,8.37,RU,1603123466
337,Moosomin,50.13,-101.67,22.6,84,0,6.15,CA,1603123467
338,Châteauroux,46.82,1.7,60.8,59,96,10.29,FR,1603123392
339,Port Hedland,-20.32,118.57,73.4,83,0,12.75,AU,1603123467
340,Kavaratti,10.57,72.64,81.27,74,88,10.38,IN,1603123467
341,Clyde River,70.47,-68.59,32.81,95,100,16.98,CA,1603123423
342,Tall Kayf,37.08,41.07,78.8,23,0,6.93,TR,1603123467
343,Palmer,42.16,-72.33,62.01,66,98,1.01,US,1603123467
344,Yulara,-25.24,130.99,68.0,88,38,13.87,AU,1603123467
345,Vao,-22.67,167.48,72.3,78,13,16.58,NC,1603123468
346,Eyrarbakki,63.86,-21.15,45.0,52,86,4.7,IS,1603123468
347,Malavalli,12.38,77.08,72.21,91,100,3.31,IN,1603123468
348,Maragogi,-9.01,-35.22,80.56,67,60,12.03,BR,1603123442
349,Río Gallegos,-51.62,-69.22,48.2,36,75,38.03,AR,1603123288
350,Oodweyne,9.41,45.06,78.35,37,0,19.22,SO,1603123468
351,Ugoofaaru,5.67,73.0,82.45,77,93,10.4,MV,1603123468
352,West Helena,34.55,-90.64,75.2,78,40,12.75,US,1603123469
353,Hamilton,39.18,-84.53,57.2,93,90,6.93,US,1603123384
354,Inhambane,-23.86,35.38,72.5,74,0,10.96,MZ,1603123469
355,Tartagal,-22.52,-63.8,102.2,33,0,11.41,AR,1603123469
